,No_discs,Shannon,Distance,Nb
289,4,9.92217718746266,0.5296716834250443,67703
290,4,9.912726923041236,0.5307826610942534,67466
291,4,9.912404538852359,0.5292169438905783,67468
292,4,9.894865649656326,0.5322417128879903,67382
293,4,9.906023216051713,0.5302717393018711,67571
294,4,9.916442036377832,0.5303184701927725,67608
295,4,9.909903491421673,0.530508577118272,67264
296,4,9.89837674735009,0.5318773988183989,67405
297,4,9.924617775432985,0.52924468761258,67482
298,4,9.90947356055892,0.5290049239982132,67416
299,4,9.921913817638716,0.5290632132777683,67573
300,4,9.90797217509055,0.5312963903142115,67439
301,4,9.932719475019569,0.5281767663074198,67512
302,4,9.908213619477857,0.5307884425311126,67356
303,4,9.905917157699777,0.5306096969400735,67532
304,4,9.914606273225779,0.5292981141714271,67642
305,4,9.910204653642962,0.5304637567571864,67564
306,4,9.913960783124713,0.5297416469177165,67514
307,4,9.921911547066642,0.5295278652901294,67546
308,4,9.923810094408214,0.5292696412153396,67388
309,4,9.88818287766712,0.5300246973441747,67386
310,4,9.920255513596201,0.5273691532714717,67599
311,4,9.906331957558555,0.529750016391501,67513
312,4,9.898095461629865,0.5330346521902805,67401
313,4,9.912797972600465,0.5293381816358823,67597
314,4,9.899515228686893,0.5305986436161103,67451
315,4,9.91528536064142,0.5284453968780674,67597
316,4,9.909903103033432,0.531413647466703,67551
317,4,9.918073554039324,0.531262934329451,67256
318,5,10.043217001329895,0.49716516083184875,72452
319,5,10.042753053475884,0.4972533053104189,72424
320,5,10.045572352294643,0.49791072597584796,72501
321,5,10.036707187458024,0.49995884068938157,72504
322,5,10.054624879944631,0.49742182677863855,72473
323,5,10.040400328186108,0.49801855651603505,72341
324,5,10.040700496161925,0.4979434019209314,72415
325,5,10.035119345599297,0.4989703651394604,72475
326,5,10.048818631259168,0.4975642216031847,72217
327,5,10.044902505118461,0.4957914649480745,72586
328,5,10.055591437984951,0.49441100875505956,72484
329,5,10.03844497615946,0.4988621700585739,72539
330,5,10.051569216020523,0.49522180226356,72369
331,5,10.037119582744163,0.4987210874903034,72341
332,5,10.03782453692017,0.49666844747807154,72419
333,5,10.043437549265715,0.49896767843142265,72352
334,5,10.054250717437501,0.4974839830247864,72443
335,5,10.037721025921755,0.4979277539321906,72546
336,5,10.014213086917518,0.497993383982496,72369
337,5,10.039372079343028,0.4960900255208283,72507
338,5,10.058813601417768,0.49638572511619294,72584
339,5,10.036817260180554,0.497723587285404,72498
340,5,10.030977452329557,0.4985606399151337,72397
341,5,10.049288851036813,0.49601237660183084,72421
342,5,10.054244607922419,0.4956630214360452,72444
343,5,10.043217001329895,0.49716516083184875,72452
344,5,10.047995212463944,0.49709239304895547,72434
345,5,10.03817425056782,0.49758529375755256,72338
346,5,10.031866180460185,0.4968019409185144,72433
347,5,10.03405190259643,0.497050029730107,72357
348,5,10.029274169116947,0.4976862368484935,72396
349,5,10.050460141322127,0.49733935669602686,72476
350,5,10.032717964773507,0.49797461564804363,72314
351,5,10.04861359179281,0.4975477176398399,72484
352,5,10.038669270468286,0.4978033602728778,72551
353,5,10.058165523192047,0.4976430877873299,72481
354,5,10.031556799032336,0.4970954863222686,72377
355,5,10.044109590237792,0.49628534536843394,72520
356,5,10.05477784760999,0.4957491889423303,72571
357,5,10.033780292968924,0.49709319388253725,72449
358,5,10.040350847712924,0.49769210960565075,72242
359,5,10.037354217516743,0.49631159621510584,72285
360,5,10.04787517641469,0.498204402606009,72472
361,5,10.044057775051941,0.4972965273683063,72372
362,5,10.041724766749356,0.49611168300245284,72545
363,5,10.053034308441228,0.4960452205003187,72326
364,5,10.04012897739086,0.4967460174534068,72376
365,5,10.034094932491866,0.4961527507527114,72417
366,5,10.050312458918714,0.4972754546964252,72548
367,5,10.02798556729693,0.4991195848553277,72211
368,5,10.034921470824758,0.49829247338257304,72414
369,5,10.044053043433605,0.4979951203055108,72268
370,5,10.039234709270128,0.49570726892411093,72384
371,5,10.04579990295456,0.4960019129832434,72402
372,5,10.046846939733673,0.4960651682176408,72450
373,5,10.040408015648389,0.4962961707564852,72353
374,5,10.037235378187743,0.49783125564598046,72453
375,5,10.041287531366688,0.49817240076912694,72522
376,5,10.03196224461264,0.4986433100935021,72409
377,5,10.05198299269306,0.4960488292808353,72394
378,5,10.045721468146507,0.49725199621656924,72500
379,5,10.0483718428774,0.4988065301825736,72464
380,5,10.025474333681306,0.49744642954942225,72510
381,5,10.048922242729235,0.496072050693579,72414
382,5,10.039893107306744,0.4989869542969743,72405
383,5,10.050185185296824,0.49764791326511176,72446
384,5,10.039103346414183,0.49807857176413595,72490
385,5,10.047338542340274,0.49682058850677985,72479
386,5,10.04904927036541,0.4969325847670005,72501
387,5,10.048154143094449,0.4985720177514255,72563
388,5,10.028295072419679,0.4981545871212962,72349
389,5,10.054023453739783,0.49753036688149044,72487
390,5,10.054760597006762,0.498087541677333,72451
391,5,10.045866377194413,0.4996949287947814,72438
392,5,10.036697379597253,0.49807415463800986,72348
393,5,10.043613284698306,0.49777701965410653,72490
394,5,10.03420293629984,0.4974236367272719,72324
395,5,10.048031602697511,0.4976920761844794,72378
396,5,10.03354193039942,0.49819687761294884,72343
397,5,10.043390356917453,0.4970761074877216,72490
398,5,10.032163518503854,0.49823078853744796,72289
399,5,10.057229288935106,0.4976387139786622,72381
400,5,10.042311917837614,0.497733506524783,72514
401,5,10.046919834187953,0.49586857441512167,72491
402,5,10.04128760515565,0.496554507867994,72482
403,5,10.033810690610311,0.49923798076095666,72295
404,5,10.02031290502845,0.4990112568682508,72333
405,5,10.04527959894663,0.49623798401397307,72547
406,5,10.026794391808258,0.4988738361509593,72434
407,5,10.038353594310394,0.49667713115513495,72359
408,5,10.04146715266748,0.49835400137952296,72459
409,5,10.043448944781371,0.4950524763729877,72411
410,5,10.056882278924693,0.49539803093512624,72487
411,5,10.041393758198955,0.49757016642533153,72335
412,5,10.047871171021995,0.4978733713470991,72464
413,5,10.054281616666724,0.4956762695006847,72467
414,5,10.053616291846867,0.49449114473133005,72503
415,5,10.042036617322152,0.4966212162282989,72483
416,5,10.041445257235988,0.4974692054372003,72433
417,5,10.054812015242883,0.49856132535743886,72427
418,6,10.146185296698764,0.468697824439816,75998
419,6,10.128663720629824,0.471332643418129,75838
420,6,10.14347367414256,0.4708494822101462,75837
421,6,10.143765129402126,0.4702487180952414,76034
422,6,10.145805275929504,0.4703898320025438,75907
423,6,10.12040538322363,0.47223553647792194,75828
424,6,10.14470881707843,0.4715556094311358,75974
425,6,10.14963661610623,0.47023501470478035,76045
426,6,10.13520387951297,0.4719091109422628,75877
427,6,10.139804064553783,0.47102087954508626,75893
428,6,10.144892429859606,0.47120720894713897,76134
429,6,10.115839545822691,0.47207546041827286,75873
430,6,10.117888640447413,0.47172258586425736,75838
431,6,10.134850834356183,0.47143855820902014,76017
432,6,10.127378732950836,0.4712934161039027,75909
433,6,10.139353860705922,0.47171846472612067,75977
434,6,10.146338737178931,0.4713797859441344,76001
435,6,10.133076889148326,0.47104414575025216,75835
436,6,10.143621438737005,0.4726730644683803,75936
437,6,10.146299348033098,0.4713429559069874,76028
438,6,10.127954733311174,0.47045940236098815,75875
439,6,10.148336888348725,0.4718791005964969,75995
440,6,10.138270111468502,0.4702369042250628,75995
441,6,10.132806901563592,0.4689127413203421,76062
