,Distance,Sample
289,0.8651040000000001,Simulation
290,0.8614440000000002,Simulation
291,0.8636840000000002,Simulation
292,0.8676879999999998,Simulation
293,0.8627640000000002,Simulation
294,0.8590680000000002,Simulation
295,0.869336,Simulation
296,0.8629279999999999,Simulation
297,0.864688,Simulation
298,0.8678959999999999,Simulation
299,0.8614440000000002,Simulation
300,0.8701159999999999,Simulation
301,0.8691039999999999,Simulation
302,0.8647400000000002,Simulation
303,0.8646960000000001,Simulation
304,0.870176,Simulation
305,0.869224,Simulation
306,0.8665880000000004,Simulation
307,0.86584,Simulation
308,0.8636840000000002,Simulation
309,0.8701159999999999,Simulation
310,0.8661319999999998,Simulation
311,0.866604,Simulation
312,0.8672040000000003,Simulation
313,0.867172,Simulation
314,0.8659200000000001,Simulation
315,0.8664919999999999,Simulation
316,0.8665039999999997,Simulation
317,0.8676879999999998,Simulation
318,0.8691039999999999,Simulation
319,0.8661319999999998,Simulation
320,0.8687999999999999,Simulation
321,0.865424,Simulation
322,0.8653719999999999,Simulation
323,0.86758,Simulation
324,0.8619239999999999,Simulation
325,0.868224,Simulation
326,0.8627640000000002,Simulation
327,0.8647400000000002,Simulation
328,0.866604,Simulation
329,0.8687999999999999,Simulation
330,0.8660839999999999,Simulation
331,0.8669840000000001,Simulation
332,0.86432,Simulation
333,0.8688560000000003,Simulation
334,0.8651800000000002,Simulation
335,0.8590680000000002,Simulation
336,0.8646960000000001,Simulation
337,0.8672040000000003,Simulation
338,0.865424,Simulation
339,0.8660839999999999,Simulation
340,0.8713,Simulation
341,0.8641519999999999,Simulation
342,0.8692159999999998,Simulation
343,0.8679959999999998,Simulation
344,0.869336,Simulation
345,0.870176,Simulation
346,0.867172,Simulation
347,0.8653719999999999,Simulation
348,0.8669840000000001,Simulation
349,0.8713,Simulation
350,0.8719440000000003,Simulation
351,0.8591040000000002,Simulation
352,0.8657320000000001,Simulation
353,0.8629279999999999,Simulation
354,0.869224,Simulation
355,0.8659200000000001,Simulation
356,0.86758,Simulation
357,0.86432,Simulation
358,0.8641519999999999,Simulation
359,0.8719440000000003,Simulation
360,0.8669079999999999,Simulation
361,0.8646919999999998,Simulation
362,0.86626,Simulation
363,0.8666879999999999,Simulation
364,0.8682280000000001,Simulation
365,0.8605720000000002,Simulation
366,0.870424,Simulation
367,0.8697680000000001,Simulation
368,0.8597880000000001,Simulation
369,0.8669079999999999,Simulation
370,0.8649720000000003,Simulation
371,0.8694679999999998,Simulation
372,0.8652559999999997,Simulation
373,0.8687040000000003,Simulation
374,0.8678280000000002,Simulation
375,0.8650360000000002,Simulation
376,0.8680960000000001,Simulation
377,0.8658440000000001,Simulation
378,0.8646919999999998,Simulation
379,0.8649720000000003,Simulation
380,0.8639839999999996,Simulation
381,0.8643439999999999,Simulation
382,0.8664200000000001,Simulation
383,0.8624440000000001,Simulation
384,0.86062,Simulation
385,0.8670880000000001,Simulation
386,0.863876,Simulation
387,0.86626,Simulation
388,0.8694679999999998,Simulation
389,0.8639839999999996,Simulation
390,0.868196,Simulation
391,0.8658640000000001,Simulation
392,0.864916,Simulation
