,Planktonic,Disc,migration_rate,replicate,cycle
1007,9.00247680524194,9.001518829836336,0.001,2,15
1008,10.970045320903184,8.873735173198236,0.001,3,0
1009,10.169898059115576,8.434494119366182,0.001,3,1
1010,10.074752602258595,10.060256739010432,0.001,3,2
1011,10.085756862589406,10.07154660589325,0.001,3,3
1012,9.9541068126963,9.192255727828806,0.001,3,4
1013,9.828267024732314,9.830818183973587,0.001,3,5
1014,9.856904225065996,9.850279891768002,0.001,3,6
1015,9.75802872391348,9.10344201083122,0.001,3,7
1016,8.755573000246716,9.19791007761562,0.001,3,8
1017,9.719857569628331,9.6276635607871,0.001,3,9
1018,9.620917084358329,9.001520629390802,0.001,3,10
1019,9.391803464243257,9.40788048617134,0.001,3,11
1020,9.416108919387469,9.41072783782734,0.001,3,12
1021,9.344826154955816,8.882297848011023,0.001,3,13
1022,8.978787628128861,9.018076148998627,0.001,3,14
1023,9.020177476941324,9.014870389771396,0.001,3,15
1024,10.970045320903184,8.876377008168824,0.001,4,0
1025,10.173720125980388,8.438310139506443,0.001,4,1
1026,10.078882624997624,10.063843973774278,0.001,4,2
1027,10.084391027657365,10.073730014210833,0.001,4,3
1028,9.95319721158778,9.196248283132467,0.001,4,4
1029,9.84016079166078,9.839623360713276,0.001,4,5
1030,9.860708090106906,9.8587595870633,0.001,4,6
1031,9.750273990621336,9.10966394441577,0.001,4,7
1032,8.777534147569602,9.213228792511828,0.001,4,8
1033,9.721872686740364,9.6419279924226,0.001,4,9
1034,9.62555358926569,9.006846625944156,0.001,4,10
1035,9.39413381814406,9.410253264913612,0.001,4,11
1036,9.419576794483037,9.416020306131175,0.001,4,12
1037,9.34792453249058,8.88865462090829,0.001,4,13
1038,8.97705774768264,9.0102393079406,0.001,4,14
1039,9.015720813394246,9.01383646016625,0.001,4,15
1040,10.970045320903184,8.877670967137583,0.001,5,0
1041,10.17047294968162,8.437091406719105,0.001,5,1
1042,10.081900624958626,10.069112968830172,0.001,5,2
1043,10.088705619694364,10.083549491526952,0.001,5,3
1044,9.956462760518123,9.19647782049218,0.001,5,4
1045,9.832310252476788,9.844013773822208,0.001,5,5
1046,9.854777722678998,9.85108315870528,0.001,5,6
1047,9.741686384847425,9.100377435117084,0.001,5,7
1048,8.78366247980809,9.2017329759335,0.001,5,8
1049,9.719297969864504,9.63225214848542,0.001,5,9
1050,9.631992286712716,8.997923031181479,0.001,5,10
1051,9.39209537534859,9.40145581850942,0.001,5,11
1052,9.417036046126222,9.409094590086651,0.001,5,12
1053,9.347817837690991,8.888487187019567,0.001,5,13
1054,8.963899680473718,9.00031791446777,0.001,5,14
1055,9.004781382209783,9.007073330083566,0.001,5,15
1056,10.970045320903184,8.87971084357616,0.001,6,0
1057,10.165256131920504,8.42502353006244,0.001,6,1
1058,10.084767330366592,10.068085413950897,0.001,6,2
1059,10.0924766849811,10.081023842587866,0.001,6,3
1060,9.9668196227068,9.187200807824942,0.001,6,4
1061,9.84385052577232,9.842365575381232,0.001,6,5
1062,9.865361918374068,9.857932527348346,0.001,6,6
1063,9.76136679113101,9.113795092702563,0.001,6,7
1064,8.772918608831052,9.211759030290748,0.001,6,8
1065,9.733542010564737,9.645038796103352,0.001,6,9
1066,9.6350381749551,9.017888674022927,0.001,6,10
1067,9.409480653490755,9.414343769963564,0.001,6,11
1068,9.422953664850372,9.417742183210624,0.001,6,12
1069,9.356471898465736,8.900976114261956,0.001,6,13
1070,8.99874846562917,9.033906529838536,0.001,6,14
1071,9.037793961100997,9.037946397457866,0.001,6,15
1072,10.970045320903184,8.879126564326008,0.001,7,0
1073,10.161641976140263,8.44225874388208,0.001,7,1
1074,10.070647576150334,10.060334438537298,0.001,7,2
1075,10.08692184705042,10.073760332681204,0.001,7,3
1076,9.956380361704731,9.190552431502187,0.001,7,4
1077,9.82778915511548,9.833638069222784,0.001,7,5
1078,9.852320845777712,9.851415520915822,0.001,7,6
1079,9.74408602537224,9.089869381660884,0.001,7,7
1080,8.777873354872478,9.185219292181191,0.001,7,8
1081,9.706069780049631,9.620224507864451,0.001,7,9
1082,9.615472687638285,8.979089744239458,0.001,7,10
1083,9.391339871364464,9.400609901887316,0.001,7,11
1084,9.40895052637491,9.40415669998991,0.001,7,12
1085,9.34745966703143,8.883845774193095,0.001,7,13
1086,8.967505952383926,9.005602634161935,0.001,7,14
1087,9.002182090162135,9.002373020104065,0.001,7,15
1088,10.970045320903184,8.880854942941028,0.001,8,0
1089,10.165662440026232,8.427910452522037,0.001,8,1
1090,10.070745815898224,10.053163907828022,0.001,8,2
1091,10.083911238502868,10.072801592845044,0.001,8,3
1092,9.955932335912005,9.16391937153228,0.001,8,4
1093,9.826807667053256,9.827255075865208,0.001,8,5
1094,9.849816217708645,9.833028531911214,0.001,8,6
1095,9.736404372651736,9.103760143787753,0.001,8,7
1096,8.763590585087949,9.192744662743936,0.001,8,8
1097,9.711208061429248,9.628257282392386,0.001,8,9
1098,9.617685352225886,9.004522771956385,0.001,8,10
1099,9.395265446592877,9.404514058991152,0.001,8,11
1100,9.415539906839957,9.410017414204567,0.001,8,12
1101,9.338541600154077,8.879512927959496,0.001,8,13
1102,8.973513608153546,9.006793167973864,0.001,8,14
1103,9.007659598805578,9.006933868817939,0.001,8,15
1104,10.970045320903184,8.877737352522447,0.001,9,0
1105,10.163847545273438,8.446202482902567,0.001,9,1
1106,10.067915563778216,10.063540968142924,0.001,9,2
1107,10.08759869535547,10.067347614172414,0.001,9,3
1108,9.952480567493009,9.17786006017996,0.001,9,4
1109,9.834934687074243,9.829090818645517,0.001,9,5
1110,9.85633846924376,9.848963613421684,0.001,9,6
1111,9.742090487149406,9.092654588662375,0.001,9,7
1112,8.7956202758584,9.195092367258123,0.001,9,8
1113,9.722027487493818,9.629758407817942,0.001,9,9
1114,9.62483430610148,8.989713315465494,0.001,9,10
1115,9.402189433510417,9.414578183886745,0.001,9,11
1116,9.427463270326957,9.413903208167897,0.001,9,12
1117,9.35051006100028,8.885069145885291,0.001,9,13
1118,8.968677239454605,9.010983359232576,0.001,9,14
1119,9.010599953318703,9.014566257749111,0.001,9,15
1120,10.970045320903184,8.877795439959273,0.0031622776601683,0,0
1121,10.174283955230674,8.414661370348341,0.0031622776601683,0,1
1122,10.075632891154228,10.072794343956684,0.0031622776601683,0,2
1123,10.087961898341993,10.083343538517088,0.0031622776601683,0,3
