,70
-6.765,58490.9
-6.76,58637.6
-6.755,58680.9
-6.75,58912.3
-6.745,58921.5
-6.74,59038.5
-6.735,59095.0
-6.73,59160.9
-6.725,59293.1
-6.72,59380.5
-6.715,59590.4
-6.71,59614.3
-6.705,59687.4
-6.7,59810.3
-6.695,59857.0
-6.69,59978.2
-6.685,60036.5
-6.68,60160.9
-6.675,60251.3
-6.67,60321.4
-6.665,60340.5
-6.66,60558.4
-6.655,60605.7
-6.65,60706.4
-6.645,60716.5
-6.64,60891.1
-6.635,60901.2
-6.63,61040.6
-6.625,61109.9
-6.62,61192.2
-6.615,61323.8
-6.61,61254.8
-6.605,61466.9
-6.6,61526.0
-6.595,61590.0
-6.59,61620.6
-6.585,61766.7
-6.58,61924.8
-6.575,61927.3
-6.57,62022.8
-6.565,62083.6
-6.56,62127.9
-6.555,62263.3
-6.55,62311.8
-6.545,62421.4
-6.54,62469.4
-6.535,62513.8
-6.53,62519.6
-6.525,62661.3
-6.52,62813.8
-6.515,62850.6
-6.51,62871.1
-6.505,63013.3
-6.5,63020.5
-6.495,63152.9
-6.49,63245.2
-6.485,63284.5
-6.48,63317.1
-6.475,63407.8
-6.47,63489.8
-6.465,63536.6
-6.46,63579.8
-6.455,63661.7
-6.45,63793.5
-6.445,63816.5
-6.44,63880.8
-6.435,63971.1
-6.43,64032.4
-6.425,64080.2
-6.42,64133.7
-6.415,64249.7
-6.41,64247.4
-6.405,64360.6
-6.4,64344.2
-6.395,64430.3
-6.39,64519.5
-6.385,64540.0
-6.38,64673.1
-6.375,64705.0
-6.37,64726.8
-6.365,64811.2
-6.36,64845.8
-6.355,64895.6
-6.35,64974.7
-6.345,65104.5
-6.34,65187.9
-6.335,65116.1
-6.33,65197.0
-6.325,65256.9
-6.32,65354.6
-6.315,65412.6
-6.31,65453.2
-6.305,65508.6
-6.3,65566.3
-6.295,65655.7
-6.29,65628.0
-6.285,65738.1
-6.28,65831.5
-6.275,65855.3
-6.27,65845.9
-6.265,65910.9
-6.26,65991.7
-6.255,65979.2
-6.25,66102.2
-6.245,66078.3
-6.24,66186.8
-6.235,66209.3
-6.23,66303.2
-6.225,66294.6
-6.22,66337.4
-6.215,66463.0
-6.21,66423.3
-6.205,66476.1
-6.2,66591.2
-6.195,66579.5
-6.19,66635.7
-6.185,66711.8
-6.18,66685.4
-6.175,66793.0
-6.17,66841.3
-6.165,66821.4
-6.16,66917.7
-6.155,67015.0
-6.15,66964.0
-6.145,67041.8
-6.14,67210.8
-6.135,67155.0
-6.13,67155.2
-6.125,67183.2
-6.12,67283.7
-6.115,67353.4
-6.11,67315.6
-6.105,67389.5
-6.1,67354.9
-6.095,67473.9
-6.09,67490.4
-6.085,67495.5
-6.08,67556.8
-6.075,67564.1
-6.07,67665.5
-6.065,67668.2
-6.06,67671.3
-6.055,67745.3
-6.05,67816.4
-6.045,67861.9
-6.04,67868.5
-6.035,67863.4
-6.03,67920.3
-6.025,67962.6
-6.02,68044.4
-6.015,68002.9
-6.01,68085.7
-6.005,68133.1
-6.0,68110.2
-5.9,68720.4
-5.8,69297.7
-5.7,69706.1
-5.6,70004.6
-5.5,70311.2
-5.4,70589.0
-5.3,70758.5
-5.2,70960.2
-5.1,71024.4
